filler
#039		胖丁	絲滑可麗餅 (好吃)	絲滑可麗餅 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)						
			24.53%	18.05%	4.65%	4.65%	2.00%	2.00%						
#041		超音蝠	旋風焗烤 (好吃)	黏豆湯 (好吃)	旋風焗烤 (超好吃)	黏豆湯 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)				
			24.52%	24.52%	18.02%	18.02%	4.65%	4.65%	2.00%	2.00%				
#043		走路草	白焗菜 (普通)	大雜燴 (普通)										
			4.17%	4.17%										
#046		派拉斯	蜂蜜鍋 (好吃)	健康青汁 (好吃)	蜂蜜鍋 (超好吃)	健康青汁 (超好吃)	紅燉湯 (好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)				
			96.43%	96.43%	57.47%	57.47%	16.44%	13.04%	4.65%	2.00%				
#048		毛球	蜂蜜鍋 (好吃到不行)	黏豆湯 (好吃到不行)	蜂蜜鍋 (超好吃)	黏豆湯 (超好吃)	大雜燴 (好吃到不行)	白焗菜 (好吃到不行)	蜂蜜鍋 (好吃)	黏豆湯 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)
			67.57%	67.57%	28.74%	28.74%	3.33%	3.33%	2.41%	2.41%	2.00%	2.00%	0.23%	0.23%
#050		地鼠	大地蛤湯 (好吃)	大地蛤湯 (超好吃)	紅燉湯 (好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			48.78%	33.33%	16.44%	13.04%	4.65%	2.00%						
#052		喵喵	絲滑可麗餅 (普通)	黃咖哩 (普通)	大雜燴 (普通)									
			25.00%	4.17%	4.17%									
#054		可達鴨	清蒸鍋 (普通)	黃咖哩 (普通)	大雜燴 (普通)									
			16.67%	4.17%	4.17%									
#056		猴怪	紅燉湯 (普通)	大雜燴 (普通)										
			14.29%	4.17%										
#058		卡蒂狗	焰辣湯 (普通)	紅燉湯 (普通)	大雜燴 (普通)									
			50.00%	14.29%	4.17%									
#060		蚊香蝌蚪	藍蘇打 (普通)	清蒸鍋 (普通)	大雜燴 (普通)									
			20.00%	16.67%	4.17%									
#063		凱西	念椒肉絲 (普通)	黃咖哩 (普通)	大雜燴 (普通)									
			100.00%	4.17%	4.17%									
#066		腕力	壯壯歐蕾 (好吃)	壯壯歐蕾 (超好吃)	藍蘇打 (好吃)	藍蘇打 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			96.15%	55.56%	19.71%	15.41%	4.65%	2.00%						
#069		喇叭芽	黃咖哩 (普通)	大雜燴 (普通)										
			4.17%	4.17%										
#072		瑪瑙水母	藍蘇打 (普通)	清蒸鍋 (普通)	大雜燴 (普通)									
			20.00%	16.67%	4.17%									
#074		小拳石	頑石煮 (普通)	大地蛤湯 (普通)	白焗菜 (普通)	大雜燴 (普通)								
			50.00%	50.00%	4.17%	4.17%								
#077		小火馬	焰辣湯 (好吃)	焰辣湯 (超好吃)	黃咖哩 (好吃)	大雜燴 (好吃)	黃咖哩 (超好吃)	大雜燴 (超好吃)						
			95.24%	50.00%	4.65%	4.65%	2.00%	2.00%						
#079		呆呆獸	念椒肉絲 (好吃)	清蒸鍋 (好吃)	念椒肉絲 (超好吃)	清蒸鍋 (超好吃)	紅燉湯 (好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)				
			24.52%	24.52%	18.02%	18.02%	16.44%	13.04%	4.65%	2.00%				
#081		小磁怪	麻麻燴飯 (好吃)	麻麻燴飯 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)						
			95.24%	50.00%	4.65%	4.65%	2.00%	2.00%						
#083		大蔥鴨	旋風焗烤 (好吃到不行)	絲滑可麗餅 (好吃到不行)	紅燉湯 (好吃到不行)	旋風焗烤 (超好吃)	絲滑可麗餅 (超好吃)	紅燉湯 (超好吃)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	旋風焗烤 (好吃)	絲滑可麗餅 (好吃)	紅燉湯 (好吃)	大雜燴 (好吃)
			29.22%	29.22%	19.76%	8.12%	8.12%	4.30%	3.33%	2.00%	0.55%	0.55%	0.27%	0.23%
#084		嘟嘟	旋風焗烤 (好吃)	絲滑可麗餅 (好吃)	旋風焗烤 (超好吃)	絲滑可麗餅 (超好吃)	紅燉湯 (好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)				
			24.53%	24.53%	18.05%	18.05%	16.44%	13.04%	4.65%	2.00%				
#086		小海獅	清蒸鍋 (好吃)	清蒸鍋 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)						
			24.52%	18.02%	4.65%	4.65%	2.00%	2.00%						
#088		臭泥	黏豆湯 (好吃)	藍蘇打 (好吃)	黏豆湯 (超好吃)	藍蘇打 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			24.52%	19.71%	18.02%	15.41%	4.65%	2.00%						
#090		大舌貝	清蒸鍋 (好吃)	清蒸鍋 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)						
			24.52%	18.02%	4.65%	4.65%	2.00%	2.00%						
#092		鬼斯	大雜燴 (好吃到不行)	白焗菜 (好吃到不行)	白焗菜 (超好吃)	大雜燴 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)						
			3.33%	3.33%	2.00%	2.00%	0.23%	0.23%						
#095		大岩蛇	頑石煮 (好吃)	大地蛤湯 (好吃)	頑石煮 (超好吃)	大地蛤湯 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)				
			97.32%	97.32%	64.52%	64.52%	4.65%	4.65%	2.00%	2.00%				
#096		催眠貘	念椒肉絲 (超好吃)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	念椒肉絲 (好吃)	黃咖哩 (好吃)	大雜燴 (好吃)				
			26.67%	3.33%	3.33%	2.00%	2.00%	1.95%	0.23%	0.23%				
#098		大鉗蟹	清蒸鍋 (普通)	紅燉湯 (普通)	大雜燴 (普通)									
			16.67%	14.29%	4.17%									
#100		霹靂電球	紅燉湯 (普通)	大雜燴 (普通)										
			14.29%	4.17%										
#102		蛋蛋	念椒肉絲 (好吃)	健康青汁 (好吃)	念椒肉絲 (超好吃)	健康青汁 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)				
			48.78%	48.78%	33.33%	33.33%	4.65%	4.65%	2.00%	2.00%				
#104		卡拉卡拉	大地蛤湯 (好吃到不行)	大地蛤湯 (超好吃)	大雜燴 (好吃到不行)	白焗菜 (好吃到不行)	大地蛤湯 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)			
			100.00%	33.33%	3.33%	3.33%	2.44%	2.00%	2.00%	0.23%	0.23%			
#106		飛腿郎	壯壯歐蕾 (超好吃)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	壯壯歐蕾 (好吃)	黃咖哩 (好吃)	大雜燴 (好吃)				
			22.22%	3.33%	3.33%	2.00%	2.00%	1.92%	0.23%	0.23%				
#107		快拳郎	壯壯歐蕾 (超好吃)	紅燉湯 (好吃到不行)	大雜燴 (好吃到不行)	紅燉湯 (超好吃)	大雜燴 (超好吃)	壯壯歐蕾 (好吃)	大雜燴 (好吃)	紅燉湯 (好吃)				
			22.22%	14.97%	3.33%	3.26%	2.00%	1.92%	0.23%	0.21%				
#108		大舌頭	絲滑可麗餅 (好吃)	絲滑可麗餅 (超好吃)	紅燉湯 (好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			24.53%	18.05%	16.44%	13.04%	4.65%	2.00%						
#109		瓦斯彈	黏豆湯 (好吃)	藍蘇打 (好吃)	黏豆湯 (超好吃)	藍蘇打 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			24.52%	19.71%	18.02%	15.41%	4.65%	2.00%						
#111		獨角犀牛	頑石煮 (普通)	大地蛤湯 (普通)	白焗菜 (普通)	大雜燴 (普通)								
			33.33%	33.33%	4.17%	4.17%								
#113		吉利蛋	絲滑可麗餅 (好吃到不行)	大雜燴 (好吃到不行)	白焗菜 (好吃到不行)	白焗菜 (超好吃)	大雜燴 (超好吃)	絲滑可麗餅 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	絲滑可麗餅 (好吃)			
			3.90%	3.33%	3.33%	2.00%	2.00%	1.08%	0.23%	0.23%	0.07%			
#114		蔓藤怪	健康青汁 (好吃到不行)	健康青汁 (超好吃)	藍蘇打 (好吃到不行)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	藍蘇打 (超好吃)	健康青汁 (好吃)	大雜燴 (好吃)	藍蘇打 (好吃)			
			20.00%	6.67%	4.03%	3.33%	2.00%	0.92%	0.49%	0.23%	0.06%			
#115		袋獸	絲滑可麗餅 (好吃到不行)	絲滑可麗餅 (超好吃)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	絲滑可麗餅 (好吃)	黃咖哩 (好吃)	大雜燴 (好吃)			
			32.47%	9.03%	3.33%	3.33%	2.00%	2.00%	0.61%	0.23%	0.23%			
#116		墨海馬	清蒸鍋 (好吃)	藍蘇打 (好吃)	清蒸鍋 (超好吃)	藍蘇打 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			24.52%	19.71%	18.02%	15.41%	4.65%	2.00%						
#118		角金魚	清蒸鍋 (普通)	紅燉湯 (普通)	大雜燴 (普通)									
			16.67%	14.29%	4.17%									
#120		海星星	清蒸鍋 (普通)	黃咖哩 (普通)	大雜燴 (普通)									
			16.67%	4.17%	4.17%									
#122		魔牆人偶	念椒肉絲 (超好吃)	大雜燴 (好吃到不行)	白焗菜 (好吃到不行)	白焗菜 (超好吃)	大雜燴 (超好吃)	念椒肉絲 (好吃)	大雜燴 (好吃)	白焗菜 (好吃)				
			3.33%	3.33%	3.33%	2.00%	2.00%	0.24%	0.23%	0.23%				
#123		飛天螳螂	旋風焗烤 (好吃到不行)	蜂蜜鍋 (好吃到不行)	旋風焗烤 (超好吃)	蜂蜜鍋 (超好吃)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	旋風焗烤 (好吃)	蜂蜜鍋 (好吃)	黃咖哩 (好吃)	大雜燴 (好吃)
			16.22%	16.22%	6.90%	6.90%	3.33%	3.33%	2.00%	2.00%	0.58%	0.58%	0.23%	0.23%
#124		迷唇姐	紅燉湯 (好吃到不行)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	紅燉湯 (好吃)						
			3.59%	3.33%	2.00%	0.78%	0.23%	0.05%						
#125		電擊獸	麻麻燴飯 (好吃到不行)	麻麻燴飯 (超好吃)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	麻麻燴飯 (好吃)	黃咖哩 (好吃)	大雜燴 (好吃)			
			20.00%	10.00%	3.33%	3.33%	2.00%	2.00%	0.95%	0.23%	0.23%			
#126		鴨嘴火獸	焰辣湯 (好吃到不行)	焰辣湯 (超好吃)	紅燉湯 (好吃到不行)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	焰辣湯 (好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	紅燉湯 (好吃)			
			20.00%	10.00%	3.59%	3.33%	2.00%	0.95%	0.78%	0.23%	0.05%			
#127		凱羅斯	蜂蜜鍋 (好吃到不行)	健康青汁 (好吃到不行)	蜂蜜鍋 (超好吃)	健康青汁 (超好吃)	紅燉湯 (好吃到不行)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	紅燉湯 (超好吃)	蜂蜜鍋 (好吃)	健康青汁 (好吃)	大雜燴 (好吃)	紅燉湯 (好吃)
			16.22%	16.22%	6.90%	6.90%	3.59%	3.33%	2.00%	0.78%	0.58%	0.58%	0.23%	0.05%
#128		肯泰羅	絲滑可麗餅 (好吃到不行)	大雜燴 (好吃到不行)	白焗菜 (好吃到不行)	白焗菜 (超好吃)	大雜燴 (超好吃)	絲滑可麗餅 (超好吃)	大雜燴 (好吃)	白焗菜 (好吃)	絲滑可麗餅 (好吃)			
			3.90%	3.33%	3.33%	2.00%	2.00%	1.08%	0.23%	0.23%	0.07%			
#129		鯉魚王	藍蘇打 (好吃到不行)	藍蘇打 (超好吃)	清蒸鍋 (超好吃)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	藍蘇打 (好吃)	清蒸鍋 (好吃)	大雜燴 (好吃)				
			33.56%	7.70%	7.21%	3.33%	2.00%	0.49%	0.49%	0.23%				
#131		拉普拉斯	清蒸鍋 (超好吃)	藍蘇打 (好吃到不行)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	藍蘇打 (超好吃)	清蒸鍋 (好吃)	大雜燴 (好吃)	藍蘇打 (好吃)				
			4.50%	4.03%	3.33%	2.00%	0.92%	0.31%	0.23%	0.06%				
#132		百變怪	藍蘇打 (好吃到不行)	絲滑可麗餅 (好吃到不行)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	絲滑可麗餅 (超好吃)	藍蘇打 (超好吃)	大雜燴 (好吃)	絲滑可麗餅 (好吃)	藍蘇打 (好吃)			
			4.03%	3.90%	3.33%	2.00%	1.08%	0.92%	0.23%	0.07%	0.06%			
#133		伊布	絲滑可麗餅 (好吃到不行)	紅燉湯 (好吃到不行)	絲滑可麗餅 (超好吃)	紅燉湯 (超好吃)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	絲滑可麗餅 (好吃)	紅燉湯 (好吃)	大雜燴 (好吃)			
			22.73%	19.76%	6.32%	4.30%	3.33%	2.00%	0.43%	0.27%	0.23%			
#137		多邊獸	絲滑可麗餅 (好吃)	絲滑可麗餅 (超好吃)	紅燉湯 (好吃)	紅燉湯 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			24.53%	18.05%	16.44%	13.04%	4.65%	2.00%						
#138		菊石獸	頑石煮 (好吃到不行)	藍蘇打 (好吃到不行)	頑石煮 (超好吃)	清蒸鍋 (超好吃)	藍蘇打 (超好吃)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	頑石煮 (好吃)	清蒸鍋 (好吃)	藍蘇打 (好吃)	大雜燴 (好吃)	
			45.45%	16.78%	16.13%	16.13%	3.85%	3.33%	2.00%	1.22%	1.22%	0.25%	0.23%	
#140		化石盔	頑石煮 (好吃到不行)	頑石煮 (超好吃)	清蒸鍋 (超好吃)	紅燉湯 (好吃到不行)	大雜燴 (好吃到不行)	紅燉湯 (超好吃)	大雜燴 (超好吃)	頑石煮 (好吃)	清蒸鍋 (好吃)	大雜燴 (好吃)	紅燉湯 (好吃)	
			45.45%	16.13%	16.13%	14.97%	3.33%	3.26%	2.00%	1.22%	1.22%	0.23%	0.21%	
#142		化石翼龍	旋風焗烤 (好吃到不行)	頑石煮 (好吃到不行)	大雜燴 (好吃到不行)	白焗菜 (好吃到不行)	旋風焗烤 (超好吃)	頑石煮 (超好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)	旋風焗烤 (好吃)	頑石煮 (好吃)	大雜燴 (好吃)	白焗菜 (好吃)
			9.09%	9.09%	3.33%	3.33%	3.23%	3.23%	2.00%	2.00%	0.24%	0.24%	0.23%	0.23%
#143		卡比獸	絲滑可麗餅 (好吃到不行)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	絲滑可麗餅 (超好吃)	黃咖哩 (好吃)	大雜燴 (好吃)	絲滑可麗餅 (好吃)			
			3.90%	3.33%	3.33%	2.00%	2.00%	1.08%	0.23%	0.23%	0.07%			
#144		急凍鳥	傳奇湯 (超好吃)	傳奇湯 (好吃)	傳奇湯 (好吃到不行)									
			33.33%	33.33%	15.87%									
#145		閃電鳥	傳奇湯 (超好吃)	傳奇湯 (好吃)	傳奇湯 (好吃到不行)									
			33.33%	33.33%	15.87%									
#146		火焰鳥	傳奇湯 (超好吃)	傳奇湯 (好吃)	傳奇湯 (好吃到不行)									
			33.33%	33.33%	15.87%									
#147		迷你龍	藍蘇打 (好吃到不行)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	藍蘇打 (超好吃)	大雜燴 (好吃)	藍蘇打 (好吃)						
			4.03%	3.33%	2.00%	0.92%	0.23%	0.06%						
#150		超夢	傳奇湯 (好吃到不行)											
			47.62%											
#151		夢幻	傳奇湯 (好吃到不行)											
			4.76%											
